FacilityID;FacilityName;Lat;Long;Category;Concentration;cluster;height_07;height_08;height_09;height_10;height_11;height_12;height_13;height_14;height_15;height_16;height_17;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
6738.0;LAFARGE CEMENTOS;41.454170999999995;2.2798369999999997;Cement;14-33%;211;525000000.0;429000000.0;284000000.0;301000000.0;302000000.0;272000000.0;282000000.0;287000000.0;315000000.0;328000000.0;433000000.0;525000000.0;429000000.0;284000000.0;301000000.0;302000000.0;272000000.0;282000000.0;287000000.0;315000000.0;328000000.0;433000000.0
6748.0;FÁBRICA DE NIEBLA (SOCIEDAD DE CEMENTOS Y MATERIALES DE CONSTRUCCIÓN DE ANDALUCÍA, S.A.);37.363554;-6.670802;Cement;14-33%;-1;223000000.0;223000000.0;337000000.0;375000000.0;302000000.0;330000000.0;384000000.0;395000000.0;382000000.0;418000000.0;365000000.0;223000000.0;223000000.0;337000000.0;375000000.0;302000000.0;330000000.0;384000000.0;395000000.0;382000000.0;418000000.0;365000000.0
6761.0;Munksjö Paper AB Billingsfors;58.98779753;12.25602562;Pulp and Paper;7-20%;-1;144000000.0;0.0;152000000.0;176000000.0;165000000.0;165000000.0;184000000.0;179000000.0;180000000.0;181000000.0;184000000.0;144000000.0;0.0;152000000.0;176000000.0;165000000.0;165000000.0;184000000.0;179000000.0;180000000.0;181000000.0;184000000.0
6788.0;ALCOA INESPAL - AVILÉS;43.575665;-5.929742;Steel and Iron;17-35%;212;5822000000.0;5589000000.0;4538000000.0;5408000000.0;5159000000.0;4708000000.0;5199000000.0;5074000000.0;6021000000.0;5857000000.0;5434000000.0;182000000.0;179000000.0;148000000.0;118000000.0;169000000.0;118000000.0;109000000.0;114000000.0;111000000.0;137000000.0;124000000.0
6789.0;ALCOA INESPAL, S.A. - LA CORUÑA;43.395405000000004;-8.486162499999999;Steel and Iron;17-35%;213;231000000.0;177000000.0;119000000.0;146000000.0;159000000.0;111000000.0;110000000.0;105000000.0;147000000.0;120000000.0;120000000.0;231000000.0;177000000.0;119000000.0;146000000.0;159000000.0;111000000.0;110000000.0;105000000.0;147000000.0;120000000.0;120000000.0
6790.0;REFINERÍA GIBRALTAR;36.22840157142857;-5.349301428571429;Refineries and steam cracker;3-13%;214;1660000000.0;1690000000.0;1730000000.0;1660000000.0;1590000000.0;1590000000.0;1600000000.0;1690000000.0;1700000000.0;1620000000.0;1550000000.0;1660000000.0;1690000000.0;1730000000.0;1660000000.0;1590000000.0;1590000000.0;1600000000.0;1690000000.0;1700000000.0;1620000000.0;1550000000.0
6792.0;ENCI BV (Maastricht);50.63807499999999;5.561374999999999;Cement;14-33%;215;3119000000.0;3081000000.0;2643000000.0;2913000000.0;2828000000.0;2713000000.0;2794000000.0;2818000000.0;2688000000.0;2659000000.0;2683000000.0;589000000.0;631000000.0;603000000.0;633000000.0;608000000.0;553000000.0;484000000.0;508000000.0;458000000.0;439000000.0;533000000.0
6793.0;REFINERÍA TENERIFE;28.455185;-16.260967;Refineries and steam cracker;3-13%;-1;470000000.0;664000000.0;0.0;601000000.0;468000000.0;535000000.0;329000000.0;154000000.0;0.0;0.0;0.0;470000000.0;664000000.0;0.0;601000000.0;468000000.0;535000000.0;329000000.0;154000000.0;0.0;0.0;0.0
6794.0;Sävenäs;57.80201504;12.05243456;Other;;216;471000000.0;470000000.0;455000000.0;548000000.0;553000000.0;567000000.0;528000000.0;532000000.0;533000000.0;542000000.0;536000000.0;471000000.0;470000000.0;455000000.0;548000000.0;553000000.0;567000000.0;528000000.0;532000000.0;533000000.0;542000000.0;536000000.0
6797.0;Preem  AB Preemraff Göteborg;57.69199844;11.88874566;Refineries and steam cracker;3-13%;217;938000000.0;1061000000.0;990000000.0;1095000000.0;959000000.0;1050000000.0;980000000.0;1000000000.0;999000000.0;1039000000.0;983000000.0;475000000.0;539000000.0;497000000.0;557000000.0;473000000.0;516000000.0;510000000.0;511000000.0;533000000.0;504000000.0;461000000.0
6800.0;St1 Refinery AB;57.69199844;11.88874566;Refineries and steam cracker;3-13%;217;938000000.0;1061000000.0;990000000.0;1095000000.0;959000000.0;1050000000.0;980000000.0;1000000000.0;999000000.0;1039000000.0;983000000.0;463000000.0;522000000.0;493000000.0;538000000.0;486000000.0;534000000.0;470000000.0;489000000.0;466000000.0;535000000.0;522000000.0
6802.0;COGENERACIÓN DE REFINERÍA LA RÁBIDA (DETISA);37.12947575;-6.9241785;Power plant(unspecified);3-8%;167;1324000000.0;1384000000.0;732000000.0;750000000.0;747000000.0;566000000.0;452000000.0;433000000.0;527000000.0;405000000.0;431000000.0;315000000.0;287000000.0;321000000.0;326000000.0;322000000.0;304000000.0;324000000.0;310000000.0;282000000.0;284000000.0;300000000.0
6803.0;Riskullaverket;57.73201504;12.05243456;Power plant(unspecified);3-8%;216;117000000.0;156000000.0;108000000.0;323000000.0;288000000.0;324000000.0;350000000.0;310000000.0;341000000.0;325000000.0;353000000.0;0.0;0.0;0.0;175000000.0;160000000.0;173000000.0;194000000.0;172000000.0;191000000.0;186000000.0;202000000.0
